Lang	Compensation
Clojure	$95,000
F#	$81,037
Elixir	$80,077
Erlang	$80,077
Perl	$80,000
Ruby	$80,000
Scala	$77,832
Rust	$77,530
Go	$75,669
LISP	$75,669
APL	$75,631
Groovy	$75,002
Crystal	$72,400
Bash/Shell	$71,340
PowerShell	$68,824
Haskell	$67,021
Julia	$65,228
Objective-C	$64,859
Python	$59,454
R	$59,454
TypeScript	$59,172
Swift	$58,910
C#	$58,368
SQL	$56,228
Assembly	$55,211
Kotlin	$55,071
Node.js	$54,672
C++	$54,049
JavaScript	$54,049
VBA	$53,825
C	$53,184
HTML/CSS	$52,980
COBOL	$52,340
Java	$51,888
Delphi	$46,704
Matlab	$43,948
PHP	$38,916
Dart	$32,986
