,Nombre,origen,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,AARON,HEBREO,31,47,36,37,35,47,38,38,53,55,72,105,88,105,131,122,125,136,169,209,203,242,209,214,225,191,179,200,206,197,172,152,225,121
1,ABEL,HEBREO,40,45,56,39,64,40,31,38,26,29,34,15,23,28,30,31,23,30,39,50,35,41,35,35,44,52,58,52,57,55,41,54,44,46
2,ABRAHAM,HEBREO,39,35,37,25,32,33,26,23,28,26,29,37,30,23,19,37,31,28,21,43,41,34,38,26,39,43,44,57,47,58,39,51,39,34
3,ACHRAF,ÁRABE,0,0,0,0,1,0,2,3,6,2,3,7,2,5,6,7,9,8,6,9,14,11,13,14,14,9,11,4,4,6,6,5,14,6
4,ADAM,HEBREO,1,3,0,5,2,1,3,4,4,3,6,4,5,13,11,11,17,34,55,75,91,160,131,144,125,136,126,113,120,108,110,99,125,103
5,ADAN,HEBREO,5,5,10,16,14,16,11,7,7,7,8,5,5,4,11,8,7,19,11,9,20,20,12,18,20,24,17,28,20,12,22,18,20,12
6,ADAY,HEBREO,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,3,2,3,4,6,9,10,11,12,17,13,14,15,41,40,11,32
7,ADONAI,HEBREO,0,0,1,0,0,0,0,0,0,0,1,0,1,2,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,2,1,2,0,6
8,ADONAY,HEBREO,0,1,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,1,2,2,1,0,0,3,2,1,3,0,3,3,0,15
9,ADRIAN,ROMANO,384,500,635,624,612,674,728,756,730,698,699,699,810,908,842,987,940,937,865,914,953,986,930,842,804,877,738,715,680,636,550,518,804,427
11,ADRIEL,HEBREO,0,0,1,0,0,0,1,0,0,0,0,1,0,2,3,1,2,2,3,1,4,7,3,5,10,5,3,3,2,5,7,7,10,5
12,AGUSTIN,LATINO,46,38,33,33,30,31,22,24,16,20,23,13,22,10,26,12,22,17,25,8,16,24,16,12,12,15,13,14,7,13,12,4,12,9
13,AHMED,ÁRABE,4,3,2,1,1,1,2,1,2,2,4,2,4,10,6,6,10,9,12,9,12,19,11,14,13,6,12,9,9,3,9,8,13,5
