,Nombre,origen,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,ABBY,HEBREO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,1,4,2,3,9
1,ABIGAIL,HEBREO,6,7,5,7,9,5,3,2,1,3,2,4,2,7,7,7,4,5,13,8,11,17,18,17,17,13,21,19,13,17,20,24,17,19
2,ABRAR,ÁRABE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,1,1,1,4,3,3,6,2,6
3,ABRIL,LATINO,1,0,0,0,1,0,1,0,1,1,7,5,7,6,9,9,25,34,30,38,37,39,49,48,73,61,52,66,92,82,124,136,73,161
4,ADA,HEBREO,2,1,1,2,3,2,1,3,7,6,4,2,4,4,5,10,8,8,14,14,15,20,16,23,14,14,19,25,28,24,11,18,14,21
5,ADARA,ÁRABE,0,1,0,0,3,2,1,0,1,2,0,1,1,1,0,0,2,1,3,1,3,3,3,9,10,3,3,3,4,6,34,36,10,37
6,ADARAY,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,1,0,1,3,2,4,2,5,3,5,1,5
7,ADELA,ALEMÁN,8,15,10,8,9,10,12,17,7,13,12,12,8,12,15,13,5,10,13,15,14,18,11,14,15,19,14,9,12,15,17,14,15,15
8,ADHARA,ÁRABE,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,1,0,1,1,0,2,2,0,1,1,0,4,1,5,11,9,1,8
9,ADRIANA,LATINO,42,56,54,63,71,90,62,72,54,48,60,56,79,91,104,157,151,201,219,241,306,279,423,430,454,383,327,350,304,277,291,228,454,184
10,AFNAN,ÁRABE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,3,8,6,2,1,3,6,1,6
11,AFRICA,LATINO,19,6,12,12,7,10,8,13,17,11,17,18,16,12,14,20,24,33,51,57,79,72,65,80,87,66,80,70,63,69,81,72,87,90
12,AGATA,GRIEGO,2,1,4,8,4,2,2,2,3,5,1,5,1,2,3,6,5,5,1,2,11,5,4,10,3,7,2,3,7,3,3,3,3,5
13,AGATHA,GRIEGO,0,1,0,0,1,1,0,1,1,2,0,2,0,0,7,3,8,9,4,5,6,3,7,7,9,7,5,7,6,5,5,4,9,10
14,AINARA,VASCO,13,13,11,14,16,14,11,12,12,11,20,18,18,32,40,45,67,82,81,165,137,188,187,192,219,200,229,189,183,171,143,114,219,94
15,AINHARA,VASCO,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,3,5,11,8,10,12,15,8,10,20,23,17,17,24,24,19,12,20,17
16,AINHOA,VASCO,70,92,88,90,109,105,78,95,115,107,97,116,156,170,174,254,318,265,253,272,255,263,285,275,262,289,285,215,166,163,133,110,262,77
17,AISHA,ÁRABE,0,0,0,1,0,0,0,1,0,1,1,0,0,1,3,1,5,5,11,6,12,10,7,9,9,12,12,17,16,17,11,21,9,19
18,AITANA,VASCO,5,8,11,15,24,6,9,13,20,28,30,52,69,80,99,132,127,174,279,305,320,376,387,414,380,336,257,238,227,226,176,217,380,196
20,AKANE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,0,1,3,2,2,2,1,5
21,ALAA,ÁRABE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,4,2,6,3,5,6,6,3,4,2,6,8,5,6
22,ALAIA,VASCO,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,4,5,3,1,3,3,1,2,7,4,4,10,5,15,26,42,7,40
23,ALANA,GERMANO,1,0,1,0,2,1,0,0,0,1,1,0,0,2,1,1,1,1,1,1,1,0,2,3,4,2,2,3,3,4,10,14,4,14
24,ALAZNE,VASCO,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,2,1,0,1,2,2,1,3,4,3,6,1,6
25,ALBA,LATINO,258,347,343,381,471,427,409,421,541,583,480,470,559,678,648,761,768,705,679,615,611,605,547,547,603,555,512,523,543,560,492,419,603,322
27,ALDARA,GERMANO,3,1,3,3,3,4,1,3,4,1,2,3,6,3,4,4,1,3,3,10,6,5,9,2,8,16,16,9,5,6,6,4,8,6
28,ALEGRIA,ESPAÑOL,1,1,1,0,2,1,0,1,0,0,1,0,0,1,2,1,4,4,2,2,4,0,6,4,3,0,2,4,6,5,7,2,3,5
29,ALEJANDRA,GRIEGO,133,144,118,138,101,138,148,136,107,128,152,142,169,231,276,340,402,414,392,414,439,443,416,388,414,373,338,351,322,321,307,264,414,247
31,ALESSANDRA,ITALIANO,1,0,0,1,0,3,1,2,3,3,1,4,1,7,5,4,4,10,5,9,5,5,5,11,6,8,7,7,10,7,4,6,6,5
32,ALESSIA,GRIEGO,1,0,1,0,0,0,0,0,2,0,0,0,0,1,3,1,0,0,2,2,2,4,4,2,5,8,8,1,7,6,8,9,5,6
34,ALEX,GRIEGO,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,2,1,2,4,7,2,1,5
35,ALEXANDRA,GRIEGO,364,310,41,33,28,31,20,16,12,25,15,16,13,22,35,44,38,48,38,60,66,69,47,52,65,51,48,51,49,32,38,35,65,30
36,ALEXIA,GRIEGO,6,6,4,6,1,2,2,2,2,4,4,8,10,14,19,29,38,30,33,41,41,54,43,43,55,62,44,48,54,59,44,37,55,18
37,ALIA,HEBREO,3,1,1,2,1,1,1,0,0,0,0,3,0,0,2,2,1,0,5,3,1,4,2,5,3,7,6,9,9,5,6,7,3,7
38,ALICE,GERMANO,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,2,3,1,5,3,3,5,3,5,6,2,11,9,11,5,11
39,ALICIA,GERMANO,214,192,213,190,200,207,182,206,191,240,240,219,256,268,282,258,244,244,266,238,216,240,259,252,281,259,228,236,243,237,216,198,281,182
