Language,Worked,Worked_per,Wanted,Wanted_per,Salary,Year,Category
Android,0.1535070497947528,15.4,0.2250936998036766,15.4,35.0,2016,Programming
AngularJS,0.15746921292164912,15.7,0.19655541674103158,15.7,45.0,2016,Programming
Arduino/RaspberryPi,0.06776726753524898,6.8,0.10953060860253436,6.8,35.0,2016,Programming
C,0.13703373192932358,13.7,0.10233803319650188,13.7,35.0,2016,Programming
C#,0.27276459039800105,27.3,0.21609851865072283,27.3,55.0,2016,Programming
C++,0.17114046046760664,17.1,0.1637694092450473,17.1,35.0,2016,Programming
Cassandra,0.011832946635730859,1.2,0.023540960199892914,1.2,75.0,2016,Programming
Clojure,0.00992325539889345,1.0,0.03539175441727646,1.0,75.0,2016,Programming
"Cloud(AWS,GAE,Azure,etc.)",0.08261645547028378,8.3,0.09327146171693736,8.3,65.0,2016,Programming
CoffeeScript,0.029662680706764234,3.0,0.029287881492057827,3.0,55.0,2016,Programming
Cordova,0.029466357308584688,2.9,0.02673567731572372,2.9,35.0,2016,Programming
Dart,0.003962163126896305,0.4,0.011708013564162055,0.4,65.0,2016,Programming
F#,0.008638229519900054,0.9,0.03765839728716759,0.9,75.0,2016,Programming
Go,0.027610208816705336,2.8,0.09195074067463858,2.8,65.0,2016,Programming
Hadoop,0.018061752632518295,1.8,0.05186507228270569,1.8,65.0,2016,Programming
Haskell,0.014510083883633767,1.5,0.05618418704265572,1.5,35.0,2016,Programming
Java,0.3202213100124933,32.0,0.21956094949134392,32.0,35.0,2016,Programming
JavaScript,0.48875602355880776,48.9,0.3214706407281813,48.9,45.0,2016,Programming
LAMP,0.08604319114759951,8.6,0.03512404069248617,8.6,45.0,2016,Programming
Matlab,0.02859182580760307,2.9,,,25.0,2016,Programming
MongoDB,0.08531144029983938,8.5,0.11213635552382652,8.5,45.0,2016,Programming
Node.js,0.15186507228270568,15.2,0.216259146885597,15.2,45.0,2016,Programming
Objective-C,0.05714795645190077,5.7,0.04642155987863644,5.7,55.0,2016,Programming
PHP,0.22809209352132787,22.8,0.11674103159021952,22.8,35.0,2016,Programming
Perl,0.028984472603962162,2.9,0.02338033196501874,2.9,65.0,2016,Programming
Python,0.2192039978582902,21.9,0.2408531144029984,21.9,45.0,2016,Programming
R,0.02912725325718365,2.9,0.049687667321077995,2.9,55.0,2016,Programming
ReactJS,0.045350704979475284,4.5,0.11774049616276995,4.5,55.0,2016,Programming
Redis,0.051079778689987504,5.1,0.056791004818847045,5.1,55.0,2016,Programming
Ruby,0.078225950383723,7.8,0.10007139032661075,7.8,55.0,2016,Programming
Rust,0.007781545600571122,0.8,0.0500624665357844,0.8,55.0,2016,Programming
SQL,0.3922184543994289,39.2,0.18798857754774229,39.2,45.0,2016,Programming
SQLServer,0.1660895948598965,16.6,0.08313403533821168,16.6,55.0,2016,Programming
Salesforce,0.01186864179903623,1.2,0.008977333571301089,1.2,75.0,2016,Programming
Scala,0.02859182580760307,2.9,0.06953417811886489,2.9,65.0,2016,Programming
SharePoint,0.01522398714974121,1.5,0.009048723897911833,1.5,55.0,2016,Programming
Spark,0.012618240228449045,1.3,0.03125111547385329,1.3,75.0,2016,Programming
Swift,0.04900945921827592,4.9,0.11770480099946458,4.9,45.0,2016,Programming
VisualBasic,0.05911119043369623,5.9,0.018061752632518295,5.9,45.0,2016,Programming
WindowsPhone,0.020042834195966447,2.0,0.032946635730858466,2.0,45.0,2016,Programming
WordPress,0.08024272711047653,8.0,0.03235766553631983,8.0,35.0,2016,Programming
iOS,0.0802784222737819,8.0,0.11761556309120114,8.0,55.0,2016,Programming
MATLAB,,,0.01654470819203998,,,2016,Programming
