Language,Worked,Worked_per,Wanted,Wanted_per,Salary,Year,Category
Assembly,0.035472447073474474,3.5,0.03741827521793275,3.5,50,2017,Programming
C,0.13570205479452055,13.6,0.0941975404732254,13.6,50,2017,Programming
C#,0.2427615193026152,24.3,0.19822151307596514,24.3,54,2017,Programming
C++,0.15868228518057284,15.9,0.1487974782067248,15.9,52,2017,Programming
Clojure,0.0076081880448318805,0.8,0.025451432129514322,0.8,72,2017,Programming
CoffeeScript,0.023194271481942714,2.3,0.020080946450809465,2.3,57,2017,Programming
CommonLisp,0.005312110834371109,0.5,0.012589508094645081,0.5,59,2017,Programming
Dart,0.002821450809464508,0.3,0.009651307596513076,0.3,53,2017,Programming
Elixir,0.0073941469489414696,0.7,0.030452210460772105,0.7,68,2017,Programming
Erlang,0.005467777085927771,0.5,0.020489570361145702,0.5,59,2017,Programming
F#,0.008892434620174347,0.9,0.03957814445828144,0.9,65,2017,Programming
Go,0.030296544209215442,3.0,0.11227428393524284,3.0,65,2017,Programming
Groovy,0.023213729763387297,2.3,0.01685087173100872,2.3,62,2017,Programming
Hack,0.0020820361145703612,0.2,0.0065768991282689915,0.2,67,2017,Programming
Haskell,0.012628424657534247,1.3,0.04487079701120797,1.3,54,2017,Programming
Java,0.2826120797011208,28.3,0.19434931506849315,28.3,49,2017,Programming
JavaScript,0.4451081880448319,44.5,0.3176953611457036,44.5,51,2017,Programming
Julia,0.0026852428393524283,0.3,0.01002101494396015,0.3,65,2017,Programming
Lua,0.020217154420921545,2.0,0.021734900373599004,2.0,57,2017,Programming
Matlab,0.030530043586550436,3.1,0.0181156600249066,3.1,50,2017,Programming
Objective-C,0.04570750311332503,4.6,0.03588107098381071,4.6,54,2017,Programming
PHP,0.20022571606475717,20.0,0.1043936799501868,20.0,40,2017,Programming
Perl,0.03084137608966376,3.1,0.021190068493150686,3.1,64,2017,Programming
Python,0.22773972602739725,22.8,0.24459059775840597,22.8,55,2017,Programming
R,0.03179483188044832,3.2,0.05113636363636364,3.2,58,2017,Programming
Ruby,0.06467932752179327,6.5,0.07717154420921545,6.5,60,2017,Programming
Rust,0.00809464508094645,0.8,0.05288760896637609,0.8,66,2017,Programming
SQL,0.3649206102117061,36.5,0.21826354296388542,36.5,50,2017,Programming
Scala,0.025470890410958905,2.5,0.06074875466998755,2.5,60,2017,Programming
Smalltalk,0.006362858032378581,0.6,0.008191936488169365,0.6,74,2017,Programming
Swift,0.0460772104607721,4.6,0.08814601494396015,4.6,54,2017,Programming
TypeScript,0.06787048567870485,6.8,0.11075653798256538,6.8,55,2017,Programming
VB.NET,0.04422867372353674,4.4,0.015644458281444583,4.4,52,2017,Programming
VBA,0.03062733499377335,3.1,0.008658935242839352,3.1,51,2017,Programming
VisualBasic6,0.020839819427148194,2.1,0.005740193026151931,2.1,48,2017,Programming
