Language,Worked,Worked_per,Wanted,Wanted_per,Salary,Year,Category
Cassandra,0.029218185704802942,2.9,0.06813451391154664,2.9,73,2019,Database
Couchbase,0.0170673807139723,1.7,0.027778090298482275,1.7,66,2019,Database
DynamoDB,0.05207970028014356,5.2,0.06892206608687826,5.2,88,2019,Database
Elasticsearch,0.12060799027935601,12.1,0.17371150838743066,12.1,70,2019,Database
Firebase,0.10814216441839272,10.8,0.13412013545897417,10.8,41,2019,Database
MariaDB,0.13952049323267665,14.0,0.11234994318373592,14.0,44,2019,Database
MicrosoftSQLServer,0.27665582844863473,27.7,0.18254334349650664,27.7,58,2019,Database
MongoDB,0.2148892364119123,21.5,0.2662713904796193,21.5,51,2019,Database
MySQL,0.4560714647345387,45.6,0.2897066930684158,45.6,46,2019,Database
Oracle,0.1389804574553064,13.9,0.08211919039636376,13.9,48,2019,Database
Other(s):,0.05691752078575205,5.7,0.0508083660542511,5.7,72,2019,Database
PostgreSQL,0.28979669903131083,29.0,0.2975372118402844,29.0,60,2019,Database
Redis,0.1571841634508286,15.7,0.20153460166736045,15.7,66,2019,Database
SQLite,0.26678892476626576,26.7,0.20034202265900117,26.7,50,2019,Database
