Language,Worked,Worked_per,Wanted,Wanted_per,Salary,Year,Category
.NET,0.24626756522619622,24.6,0.1781330513146496,24.6,59,2019,MiscTech
.NETCore,0.15610409189608812,15.6,0.1921289785448286,15.6,62,2019,MiscTech
Ansible,0.061924102471788756,6.2,0.07290482994498386,6.2,73,2019,MiscTech
ApacheSpark,0.03818502975822148,3.8,0.07478370442041785,3.8,75,2019,MiscTech
Chef,0.01660610015413521,1.7,0.024234105509490005,1.7,100,2019,MiscTech
Cordova,0.04665684101571729,4.7,0.03353847192376495,4.7,37,2019,MiscTech
CryEngine,0.0038702564044867972,0.4,0.013264628781656785,0.4,35,2019,MiscTech
Flutter,0.02261399817737925,2.3,0.0822091963592588,2.3,41,2019,MiscTech
Hadoop,0.03213212875352992,3.2,0.07044091671073209,3.2,72,2019,MiscTech
Node.js,0.3286005197844357,32.9,0.353464667034191,32.9,58,2019,MiscTech
Other(s):,0.031232069124579504,3.1,0.03420226590011588,3.1,61,2019,MiscTech
Pandas,0.08378430070992203,8.4,0.0999628725403058,8.4,62,2019,MiscTech
Puppet,0.01751741052844751,1.8,0.024942902467288457,1.8,80,2019,MiscTech
ReactNative,0.06900082130441142,6.9,0.16427213302881316,6.9,52,2019,MiscTech
TensorFlow,0.06760572887953827,6.8,0.20143334495910353,6.8,58,2019,MiscTech
Torch/PyTorch,0.02162393258553379,2.2,0.07180225689951959,2.2,60,2019,MiscTech
Unity3D,0.07455868951318025,7.5,0.1252320466230888,7.5,46,2019,MiscTech
UnrealEngine,0.02312028171866386,2.3,0.07185851062632899,2.3,47,2019,MiscTech
Xamarin,0.04286533982876366,4.3,0.06751572291664323,4.3,50,2019,MiscTech
