Language,Worked,Worked_per,Wanted,Wanted_per,Salary,Year,Category
AWS,0.2396858791894963,24.0,0.29587210152672616,24.0,74,2019,Platforms
Android,0.24345487888572617,24.3,0.2784446969611737,24.3,42,2019,Platforms
Arduino,0.09611511762654276,9.6,0.12536705556743133,9.6,48,2019,Platforms
Docker,0.2836537920637242,28.4,0.3708583193636578,28.4,66,2019,Platforms
GoogleCloudPlatform,0.11169739995274687,11.2,0.17906686317968565,11.2,60,2019,Platforms
Heroku,0.09593510570075267,9.6,0.08467310959351057,9.6,54,2019,Platforms
IBMCloudorWatson,0.01703362847788666,1.7,0.03304343912784222,1.7,65,2019,Platforms
Kubernetes,0.07689884454845133,7.7,0.20018451222393482,7.7,78,2019,Platforms
Linux,0.48100311645646526,48.1,0.4745339378733841,48.1,57,2019,Platforms
MacOS,0.20033077191363927,20.0,0.19613424389365797,20.0,67,2019,Platforms
MicrosoftAzure,0.10719710180799479,10.7,0.1338613683156509,10.7,68,2019,Platforms
Other(s):,0.0320871257720824,3.2,0.029713218500725672,3.2,61,2019,Platforms
RaspberryPi,0.13706783074378678,13.7,0.19990324358988784,13.7,62,2019,Platforms
Slack,0.188146214686723,18.8,0.1524250981627533,18.8,60,2019,Platforms
Windows,0.45711778405319353,45.7,0.3174397803854505,45.7,52,2019,Platforms
WordPress,0.1304523924710012,13.0,0.07409740895334316,13.0,42,2019,Platforms
iOS,0.11752528605020082,11.8,0.16306830327509197,11.8,59,2019,Platforms
