Language,Worked,Worked_per,Wanted,Wanted_per,Salary,Year,Category
ASP.NET,0.18787619679803788,18.8,0.15182880865857362,18.8,58,2019,Webframe
Angular/Angular.js,0.21974955840824453,22.0,0.22076212549081375,22.0,53,2019,Webframe
Django,0.09280739849014998,9.3,0.1277859658202356,9.3,50,2019,Webframe
Drupal,0.024695386069327092,2.5,0.017303646366571786,2.5,50,2019,Webframe
Express,0.14088183342146418,14.1,0.1360440129158557,14.1,55,2019,Webframe
Flask,0.08656323481430644,8.7,0.09183983438902828,8.7,61,2019,Webframe
Laravel,0.07514372827199801,7.5,0.07353487168524915,7.5,30,2019,Webframe
Other(s):,0.05914516836740434,5.9,0.05589370295782096,5.9,60,2019,Webframe
React.js,0.22363106555809323,22.4,0.3322457612816849,22.4,63,2019,Webframe
RubyonRails,0.05878514451582417,5.9,0.07461494323998966,5.9,70,2019,Webframe
Spring,0.11586017573664255,11.6,0.1107748388330727,11.6,52,2019,Webframe
Vue.js,0.10880595839474365,10.9,0.22258474623943836,10.9,51,2019,Webframe
jQuery,0.34855934205641126,34.9,0.19034011003228965,34.9,46,2019,Webframe
