Language,Worked,Worked_per,Wanted,Wanted_per,Salary,Year,Category,Category2
Android,0.1575557770451583,15.8,0.2232615195890516,15.8,30.0,2015,Programming,Platforms
Arduino,0.0623322855171356,6.2,0.1024304224488231,6.2,50.0,2015,Programming,Platforms
Angular.js,0.1116690945334662,11.2,0.1623476194127118,11.2,50.0,2015,Programming,Webframe
C,0.1384650770528252,13.8,0.0995936517672314,13.8,50.0,2015,Programming,Programming
C++,0.1736180326611975,17.4,0.1403434792609062,17.4,50.0,2015,Programming,Programming
C++11,0.0709576017787319,7.1,0.1021620792762401,7.1,50.0,2015,Programming,Programming
C#,0.2663881008970329,26.6,0.2252165912750134,26.6,50.0,2015,Programming,Programming
Cassandra,0.0077436172659664,0.8,0.0157172429655754,0.8,90.0,2015,Programming,Database
CoffeeScript,0.0300161005903549,3.0,0.0403664801042704,3.0,50.0,2015,Programming,Programming
Cordova,0.0240742160545886,2.4,0.0234991949704822,2.4,50.0,2015,Programming,MiscTech
Clojure,0.0067469140535152,0.7,0.0276776815149888,0.7,70.0,2015,Programming,Programming
Cloud,0.0540519819060032,5.4,0.0682741700529019,5.4,70.0,2015,Programming,Programming
Dart,0.0041784865445066,0.4,0.0156405734876945,0.4,50.0,2015,Programming,Programming
F#,0.0066702445756344,0.7,0.0313961511922103,0.7,90.0,2015,Programming,Programming
Go,0.0177106493904776,1.8,0.0701525722609829,1.8,70.0,2015,Programming,Programming
Hadoop,0.0131104807176263,1.3,0.0437016023920877,1.3,70.0,2015,Programming,MiscTech
Haskell,0.0136855018017327,1.4,0.0471517288967262,1.4,50.0,2015,Programming,Programming
iOS,0.0749827493674768,7.5,0.1173043011577091,7.5,50.0,2015,Programming,Platforms
Java,0.3150732193513762,31.5,0.2366786782182013,31.5,50.0,2015,Programming,Programming
JavaScript,0.4585601472053975,45.9,0.3298320938434409,45.9,50.0,2015,Programming,Programming
LAMP,0.0738327071992639,7.4,0.0354212987809553,7.4,50.0,2015,Programming,Programming
Matlab,0.0329678754887679,3.3,0.0197807252932607,3.3,30.0,2015,Programming,Programming
MongoDB,0.0668941194510465,6.7,0.0965652073909376,6.7,50.0,2015,Programming,Database
Node.js,0.1118991029671088,11.2,0.1763014643870275,11.2,50.0,2015,Programming,Programming
Objective-C,0.0658974162385954,6.6,0.0643256919420378,6.6,50.0,2015,Programming,Programming
Perl,0.0282910373380357,2.8,0.024380893966112,2.8,70.0,2015,Programming,Programming
PHP,0.2502875105420532,25.0,0.1507321935137621,25.0,30.0,2015,Programming,Programming
Python,0.2007973625699609,20.1,0.2288200567354136,20.1,50.0,2015,Programming,Programming
R,0.028942727900023,2.9,0.0454266656444069,2.9,50.0,2015,Programming,Programming
Redis,0.0334662270949934,3.3,0.0428582381353983,3.3,70.0,2015,Programming,Database
Ruby,0.067660814229855,6.8,0.0974469063865675,6.8,50.0,2015,Programming,Programming
Rust,0.003948478110864,0.4,0.0290577321168442,0.4,70.0,2015,Programming,Programming
Salesforce,0.0058652150578854,0.6,0.0054051981906003,0.6,70.0,2015,Programming,Platforms
Scala,0.0206240895499501,2.1,0.0554320325078586,2.1,70.0,2015,Programming,Programming
Sharepoint,0.0133788238902093,1.3,0.0110020700759027,1.3,70.0,2015,Programming,Platforms
Spark,0.0039868128498044,0.4,0.0150655524035881,0.4,90.0,2015,Programming,Webframe
SQL,0.3618416008586981,36.2,0.2036341332515525,36.2,50.0,2015,Programming,Programming
SQLServer,0.1582841370850264,15.8,0.092386720846431,15.8,50.0,2015,Programming,Database
Swift,0.0290960668557847,2.9,0.0915050218508012,2.9,50.0,2015,Programming,Programming
VisualBasic,0.0652073909376677,6.5,0.0254926013953844,6.5,50.0,2015,Programming,Programming
Windows Phone,0.0218508011960438,2.2,0.0423215517902323,2.2,50.0,2015,Programming,Programming
Wordpress,0.0769378210534386,7.7,0.0384114084183086,7.7,30.0,2015,Programming,Programming
Write-In,0.0823430192440389,8.2,0.0652840604155485,8.2,50.0,2015,Programming,Programming
Android,0.1535070497947528,15.4,0.2250936998036766,15.4,35.0,2016,Programming,Platforms
Angular.js,0.1574692129216491,15.7,0.1965554167410315,15.7,45.0,2016,Programming,Webframe
Arduino/RaspberryPi,0.0677672675352489,6.8,0.1095306086025343,6.8,35.0,2016,Programming,Programming
C,0.1370337319293235,13.7,0.1023380331965018,13.7,35.0,2016,Programming,Programming
C#,0.272764590398001,27.3,0.2160985186507228,27.3,55.0,2016,Programming,Programming
C++,0.1711404604676066,17.1,0.1637694092450473,17.1,35.0,2016,Programming,Programming
Cassandra,0.0118329466357308,1.2,0.0235409601998929,1.2,75.0,2016,Programming,Database
Clojure,0.0099232553988934,1.0,0.0353917544172764,1.0,75.0,2016,Programming,Programming
Cloud,0.0826164554702837,8.3,0.0932714617169373,8.3,65.0,2016,Programming,Programming
CoffeeScript,0.0296626807067642,3.0,0.0292878814920578,3.0,55.0,2016,Programming,Programming
Cordova,0.0294663573085846,2.9,0.0267356773157237,2.9,35.0,2016,Programming,MiscTech
Dart,0.0039621631268963,0.4,0.011708013564162,0.4,65.0,2016,Programming,Programming
F#,0.0086382295199,0.9,0.0376583972871675,0.9,75.0,2016,Programming,Programming
Go,0.0276102088167053,2.8,0.0919507406746385,2.8,65.0,2016,Programming,Programming
Hadoop,0.0180617526325182,1.8,0.0518650722827056,1.8,65.0,2016,Programming,MiscTech
Haskell,0.0145100838836337,1.5,0.0561841870426557,1.5,35.0,2016,Programming,Programming
Java,0.3202213100124933,32.0,0.2195609494913439,32.0,35.0,2016,Programming,Programming
JavaScript,0.4887560235588077,48.9,0.3214706407281813,48.9,45.0,2016,Programming,Programming
LAMP,0.0860431911475995,8.6,0.0351240406924861,8.6,45.0,2016,Programming,Programming
Matlab,0.028591825807603,2.9,,,25.0,2016,Programming,Programming
MongoDB,0.0853114402998393,8.5,0.1121363555238265,8.5,45.0,2016,Programming,Database
Node.js,0.1518650722827056,15.2,0.216259146885597,15.2,45.0,2016,Programming,Programming
Objective-C,0.0571479564519007,5.7,0.0464215598786364,5.7,55.0,2016,Programming,Programming
PHP,0.2280920935213278,22.8,0.1167410315902195,22.8,35.0,2016,Programming,Programming
Perl,0.0289844726039621,2.9,0.0233803319650187,2.9,65.0,2016,Programming,Programming
Python,0.2192039978582902,21.9,0.2408531144029984,21.9,45.0,2016,Programming,Programming
R,0.0291272532571836,2.9,0.0496876673210779,2.9,55.0,2016,Programming,Programming
React.jsJS,0.0453507049794752,4.5,0.1177404961627699,4.5,55.0,2016,Programming,Programming
Redis,0.0510797786899875,5.1,0.056791004818847,5.1,55.0,2016,Programming,Database
Ruby,0.078225950383723,7.8,0.1000713903266107,7.8,55.0,2016,Programming,Programming
Rust,0.0077815456005711,0.8,0.0500624665357844,0.8,55.0,2016,Programming,Programming
SQL,0.3922184543994289,39.2,0.1879885775477422,39.2,45.0,2016,Programming,Programming
SQLServer,0.1660895948598965,16.6,0.0831340353382116,16.6,55.0,2016,Programming,Database
Salesforce,0.0118686417990362,1.2,0.008977333571301,1.2,75.0,2016,Programming,Platforms
Scala,0.028591825807603,2.9,0.0695341781188648,2.9,65.0,2016,Programming,Programming
Sharepoint,0.0152239871497412,1.5,0.0090487238979118,1.5,55.0,2016,Programming,Platforms
Spark,0.012618240228449,1.3,0.0312511154738532,1.3,75.0,2016,Programming,Webframe
Swift,0.0490094592182759,4.9,0.1177048009994645,4.9,45.0,2016,Programming,Programming
