Language;Category
Assembly;Backend
C;Backend
C#;Backend
C++;Backend
C++11;Backend
Clojure;Backend
CoffeeScript;Frontend
CommonLisp;Backend
Dart;Frontend
Elixir;FullStack
Erlang;FullStack
F#;Backend
Go;Backend
Groovy;Backend
Hack;Backend
Haskell;Backend
Java;Backend
JavaScript;Frontend
Julia;Backend
Lua;Backend
Matlab;Backend
Objective-C;Mobile
PHP;Frontend
Perl;Backend
Python;Backend
R;Backend
Ruby;FullStack
Rust;Backend
SQL;Tooling
Scala;Backend
Smalltalk;Backend
Swift;Mobile
TypeScript;Frontend
VB.NET;Backend
VBA;Backend
VisualBasic6;Backend
Bash/Shell;Tooling
CSS;Frontend
Cobol;Backend
Delphi/Object Pascal;Backend
HTML;Frontend
Kotlin;FullStack
Ocaml;Backend
Visual Basic 6;Backend
Bash/Shell/PowerShell;Tooling
HTML/CSS;Frontend
Other(s):;Tooling
WebAssembly;Frontend
Haskell;Backend
APL;Backend
COBOL;Backend
Crystal;Backend
Delphi;Backend
LISP;Backend
Node.js;FullStack
PowerShell;Tooling
